time,system,Y,X,Cmax
0,A,10.096163997197486,12.088685782389149,1.0
1,B,10.03792791302934,12.548926210883739,1.0
2,A,7.221231683318703,8.591110247979223,1.0
3,B,9.036529527675315,10.910651815194267,1.0
4,A,6.108166191205188,8.291299217033247,1.0
5,B,10.1054616200064,11.457935734711633,1.0
6,A,8.751278800053614,10.309028486329497,1.0
7,B,7.693295994902027,9.011669322062328,1.0
8,A,6.429551266252494,8.723820774057861,1.0
9,B,9.538642478375348,12.113512005243983,1.0
10,A,7.244139828583574,9.194150779758203,1.0
11,B,12.541424881311126,14.47584082863758,1.0
12,A,9.777772970046371,12.067427977902764,1.0
13,B,8.762816583884641,10.42808863174386,1.0
14,A,9.487658524259329,12.136408440369918,1.0
15,B,6.212167289867758,8.159627097207883,1.0
16,A,11.9173523060804,14.709914492690118,1.0
17,B,8.385518676280721,11.3761240586003,1.0
18,A,11.432317437287098,13.479146590752004,1.0
19,B,7.057619432148825,8.57910999945707,1.0
20,A,9.66767022056023,11.406608315867123,1.0
21,B,8.846427448735623,11.434948960481647,1.0
22,A,12.81525497794493,14.56478518482488,1.0
23,B,10.277156517082288,12.002096366632529,1.0
24,A,9.514423095591672,11.314425807398678,1.0
25,B,7.375221279460555,9.868829641643256,1.0
26,A,8.078408466144834,10.320982981397865,1.0
27,B,8.522508547738726,11.644706817300765,1.0
28,A,8.19347605533091,11.072380222135326,1.0
29,B,6.760779535482271,8.151284559162313,1.0
30,A,11.633311055399531,13.784043469360505,1.0
31,B,12.54988628311633,14.273125402878367,1.0
32,A,6.994855366373027,8.981743622990276,1.0
33,B,9.244710067030782,11.878253004773345,1.0
34,A,6.9282723684749,8.760030187948106,1.0
35,B,9.523139340596162,12.705680651278682,1.0
36,A,7.216436475872154,9.96863648687306,1.0
37,B,9.861158743556642,12.615958442843311,1.0
38,A,9.726126468841892,13.088962300008179,1.0
39,B,10.934541285862121,13.380532443423599,1.0
40,A,6.950316866264723,8.754186621691275,1.0
41,B,12.166301659872412,14.412082915963255,1.0
42,A,7.960826881270169,9.611497936264165,1.0
43,B,6.468818176197669,8.261887893233258,1.0
44,A,10.096605872444034,11.883967285740383,1.0
45,B,9.072022838341017,10.596455987037071,1.0
46,A,10.669302424661035,13.808528201926892,1.0
47,B,10.435595831177741,13.657760304450113,1.0
48,A,8.37730164724156,10.219972249759007,1.0
49,B,10.84090943913569,14.670295765488214,1.0
50,A,7.631580983802773,10.03642486698083,1.0
51,B,8.169096222128738,11.605399904622,1.0
52,A,8.32546115115972,9.791755633973219,1.0
53,B,12.060273593083657,14.552304990342744,1.0
54,A,7.567861789963964,9.152254723074126,1.0
55,B,6.904722605604201,8.314374335746303,1.0
56,A,8.771902222586535,11.045679420021266,1.0
57,B,12.042553712080382,14.94662894839086,1.0
58,A,10.60574298433662,14.241740863784397,1.0
59,B,9.778502899527815,13.240256136198646,1.0
