time,system,Y,X,Cmax
0,A,9.372593411276164,10.695626472702475,1.0
1,B,10.084137189514468,12.476942898659772,1.0
2,A,7.334297046715698,9.865243222505923,1.0
3,B,5.76716045584402,8.978378876677699,1.0
4,A,9.480765700885113,11.345140918166221,1.0
5,B,8.085566061281671,10.918225580164195,1.0
6,A,6.921989261756756,9.627989583702115,1.0
7,B,6.099598486544081,10.572582670805897,1.0
8,A,8.638486917254376,10.56474714878373,1.0
9,B,6.244775171713309,10.292468950887818,1.0
10,A,9.942095038397536,10.656248558088503,1.0
11,B,7.718264529484586,12.800203418191618,1.0
12,A,6.4537919138636655,10.078135321998996,1.0
13,B,12.107291378938916,14.642005487007383,1.0
14,A,10.227926080381751,14.414436136767245,1.0
15,B,6.66304733670275,11.36637299810055,1.0
16,A,8.180029511014586,10.298528435032821,1.0
17,B,9.603930960365888,11.748043528810022,1.0
18,A,9.825706472216202,13.939923421415372,1.0
19,B,7.896472061753674,12.568111383920714,1.0
20,A,11.579892364260816,13.630742795629542,1.0
21,B,10.007324253847157,11.72905593246018,1.0
22,A,9.655254895062987,12.430423404873345,1.0
23,B,5.885309520162475,10.017089299277231,1.0
24,A,8.17800590646218,13.144252136172035,1.0
25,B,5.633839923877766,9.416832151880028,1.0
26,A,8.438179315495043,12.863586901729487,1.0
27,B,10.508982686351528,14.025033478281259,1.0
28,A,5.89060337440133,8.924719861110807,1.0
29,B,8.531356071730324,12.300658183793438,1.0
30,A,7.238883305120766,8.665670237609543,1.0
31,B,9.673003368027828,13.080009397899989,1.0
32,A,5.8616399335266145,8.591452531764642,1.0
33,B,11.590531896021323,14.551578758904382,1.0
34,A,7.486908572521912,8.961855510264614,1.0
35,B,11.353323223353959,14.712161721363563,1.0
36,A,8.82353146743526,13.606189232595677,1.0
37,B,7.194681189906771,12.155774031264478,1.0
38,A,12.087528669851443,13.478368732406828,1.0
39,B,9.505165131832232,13.565803872881602,1.0
40,A,10.731004489082983,14.622189439721312,1.0
41,B,6.8646727867458335,9.77368347687431,1.0
42,A,9.79435356345081,12.130531267508164,1.0
43,B,7.105589369919456,8.665344382950808,1.0
44,A,8.91227760110446,12.313159900168849,1.0
45,B,7.647931805128373,9.199039128649522,1.0
46,A,7.587140867210239,11.954654280307093,1.0
47,B,8.289529597176745,12.007013598236949,1.0
48,A,9.28097484659092,11.261896070868591,1.0
49,B,6.861978699776451,11.658422428591859,1.0
50,A,8.615059317864262,13.347463730046115,1.0
51,B,9.09026015956445,13.594713015584468,1.0
52,A,10.458797181988087,11.445072509028003,1.0
53,B,8.899040794141689,12.197154090658286,1.0
54,A,13.001808579596725,14.518653649830712,1.0
55,B,6.979969803394109,8.838135119507859,1.0
56,A,6.671547061729645,8.819724961300773,1.0
57,B,6.785369227876026,8.61396308337538,1.0
58,A,8.160799979556051,12.605042995283695,1.0
59,B,5.948719986216785,10.930258105532657,1.0
